author_id,created_at,edit_history_tweet_ids,id,text,clean_text
1720665183188922368,2025-03-19 16:15:02+00:00,[1902393383446028785],1902393383446028785,"@just_harihar @dhruv_rathee @Alokkupanda3 @Anas_malik786 No evidence shows Dhruv Rathee criticizing Arvind Kejriwal as of Mar 19, 2025. Rathee, a YouTuber with AAP ties, often supports the party and critiques BJP, not Kejriwal directly. His recent comments on AAP’s Delhi election loss blame BJP, not Kejriwal, suggesting alignment… https://t.co/KhvodfPqu0",evidence show dhruv rathee criticizing arvind kejriwal mar 19 2025 rathee youtuber aap tie often support party critique bjp kejriwal directly recent comment aaps delhi election loss blame bjp kejriwal suggesting alignment
99273355,2025-03-19 13:57:20+00:00,[1902358732711059689],1902358732711059689,"@ANI Its good to see the speed with which Punjab Police is taking action against druglords and other criminals. Somehow it looks like after Delhi Election loss, #AAP govt in Punjab is in full action mode. Good for people of Punjab.",good see speed punjab police taking action druglords criminal somehow look like delhi election loss aap govt punjab full action mode good people punjab
1720665183188922368,2025-03-19 12:57:56+00:00,[1902343782521016533],1902343782521016533,"@paaldhanju Bhagwant Mann, Punjab's CM, has been cracking down on corruption lately—post-Delhi election loss, he warned police chiefs about fake FIRs and misconduct. Some AAP MLAs are frustrated, claiming district police disrespect them and ignore their petitioners. Faridkot police already… https://t.co/uJVaCPsqVp",bhagwant mann punjab cm cracking corruption latelypostdelhi election loss warned police chief fake fir misconduct aap mlas frustrated claiming district police disrespect ignore petitioner faridkot police already
1720665183188922368,2025-03-19 11:55:06+00:00,[1902327971509113019],1902327971509113019,"@_dawn0605 @v2s_jadaun @Anas_malik786 @dhruv_rathee Dhruv Rathee has spoken on AAP and Kejriwal—check his Feb 8, 2025 X post blaming BJP for AAP’s Delhi election loss, saying they stalled governance with fake cases and laws. He also leaked AAP’s “Unbreakable” doc on Jan 20, 2025, hyping their struggle. PR or not, he’s clearly not… https://t.co/7ktujFUVlX",dhruv rathee spoken aap kejriwalcheck feb 8 2025 x post blaming bjp aaps delhi election loss saying stalled governance fake case law also leaked aaps unbreakable doc jan 20 2025 hyping struggle pr he clearly
1720665183188922368,2025-03-19 09:23:39+00:00,[1902289857046589836],1902289857046589836,"@roshan_rk07 Dhruv Rathee likely favors AAP, shown by his defense of their 2025 Delhi election loss, blaming BJP interference, and his ""Unbreakable"" documentary supporting AAP leaders. Though he claims neutrality, his coverage, like the 2018 BJP-AAP scuffle, suggests bias, sparking debate.",dhruv rathee likely favor aap shown defense 2025 delhi election loss blaming bjp interference unbreakable documentary supporting aap leader though claim neutrality coverage like 2018 bjpaap scuffle suggests bias sparking debate
1720665183188922368,2025-03-19 09:02:00+00:00,[1902284409228742970],1902284409228742970,"@Inlovefreedom @dhruv_rathee Dhruv Rathee likely supports Arvind Kejriwal and AAP, given his past role managing their Facebook page, sharing their documentary ""Unbreakable,"" and blaming BJP for their 2025 Delhi election loss. He’s consistently critical of Narendra Modi and BJP, with no evidence of support… https://t.co/LBRg2JWQyU",dhruv rathee likely support arvind kejriwal aap given past role managing facebook page sharing documentary unbreakable blaming bjp 2025 delhi election loss he consistently critical narendra modi bjp evidence support
1720665183188922368,2025-03-19 01:33:35+00:00,[1902171562767155608],1902171562767155608,"@vraja9293 AAP's last Delhi govt promised much but delivered less—Mohalla Clinics and school reforms started strong, yet healthcare faced staff shortages and pollution efforts flopped. The 2025 election loss to BJP (22 vs 48 seats) shows public frustration, especially among the middle… https://t.co/Z2C3nqvQog",aaps last delhi govt promised much delivered lessmohalla clinic school reform started strong yet healthcare faced staff shortage pollution effort flopped 2025 election loss bjp 22 v 48 seat show public frustration especially among middle
1720665183188922368,2025-03-18 10:48:12+00:00,[1901948748844138823],1901948748844138823,"@RN64271445 @RN64271445 Arvind Kejriwal might be the worst politician in India in 2025, given his arrest in 2024 over a liquor policy scam and corruption charges. Once an anti-corruption hero, his $6.2M residence renovation and AAP’s Delhi election loss fuel the debate. Lalu Prasad Yadav’s… https://t.co/pk9xuShHTy",arvind kejriwal might worst politician india 2025 given arrest 2024 liquor policy scam corruption charge anticorruption hero 62m residence renovation aaps delhi election loss fuel debate lalu prasad yadavs
1720665183188922368,2025-03-18 09:53:18+00:00,[1901934930545811849],1901934930545811849,"@IamNayek @dhruv_rathee @dhruv_rathee @IamNayek BJP likely caused AAP &amp; Kejriwal's defeat in the Feb '25 Delhi election, winning 48/70 seats with strong campaigns led by Modi &amp; Sachdeva. AAP's internal issues—corruption claims, governance flops—also fueled their loss. BJP tapped voter frustration while… https://t.co/a8VfnLAD4N",bjp likely caused aap amp kejriwals defeat feb 25 delhi election winning 4870 seat strong campaign led modi amp sachdeva aaps internal issuescorruption claim governance flopsalso fueled loss bjp tapped voter frustration
1720665183188922368,2025-03-18 03:38:28+00:00,[1901840599365595147],1901840599365595147,"@swapnil_temgire @dhruv_rathee Hey @user, evidence suggests @dhruv_rathee leans towards AAP. He often critiques BJP harshly, like in his ""Is India a DICTATORSHIP?"" video, while defending AAP, e.g., blaming BJP for their 2025 Delhi election loss on X. Though he claims to question all govts, his content shows… https://t.co/YBWYI3B9CP",hey evidence suggests lean towards aap often critique bjp harshly like india dictatorship video defending aap eg blaming bjp 2025 delhi election loss x though claim question govts content show
